# x_m, y_m, w_tr_right_m, w_tr_left_m
-2.876902719954134113e+01,5.676496753534875594e+00,1.500000000000000000e+00,1.500000000000000000e+00
-2.905143774371138221e+01,5.477424307825141447e+00,1.500000000000000000e+00,1.500000000000000000e+00
-2.934376945813678716e+01,5.293818121209082683e+00,1.500000000000000000e+00,1.500000000000000000e+00
-2.964993374449072761e+01,5.128373420932234694e+00,1.500000000000000000e+00,1.500000000000000000e+00
-2.997223048859862615e+01,4.983916273256318696e+00,1.500000000000000000e+00,1.500000000000000000e+00
-3.030791270660465386e+01,4.863681925284200069e+00,1.500000000000000000e+00,1.500000000000000000e+00
-3.065324735590462168e+01,4.770985200789676028e+00,1.500000000000000000e+00,1.500000000000000000e+00
-3.100450181755006795e+01,4.709141347202281835e+00,1.500000000000000000e+00,1.500000000000000000e+00
-3.135794311954608560e+01,4.681465258905101123e+00,1.500000000000000000e+00,1.500000000000000000e+00
-3.170983864294422716e+01,4.691271406625474150e+00,1.500000000000000000e+00,1.500000000000000000e+00
-3.205667006799412633e+01,4.740637186312969931e+00,1.500000000000000000e+00,1.500000000000000000e+00
-3.239558640335437190e+01,4.827791716950112111e+00,1.500000000000000000e+00,1.500000000000000000e+00
-3.272386587268600522e+01,4.950218200969626281e+00,1.500000000000000000e+00,1.500000000000000000e+00
-3.303878684086866713e+01,5.105399911413536884e+00,1.500000000000000000e+00,1.500000000000000000e+00
-3.333762760217267385e+01,5.290819838886697823e+00,1.500000000000000000e+00,1.500000000000000000e+00
-3.361769681286351386e+01,5.503960409119640573e+00,1.500000000000000000e+00,1.500000000000000000e+00
-3.387704530346398002e+01,5.742282794446315286e+00,1.500000000000000000e+00,1.500000000000000000e+00
-3.411448987408533640e+01,6.003226207711175988e+00,1.500000000000000000e+00,1.500000000000000000e+00
-3.432888255887502282e+01,6.284229085056480812e+00,1.500000000000000000e+00,1.500000000000000000e+00
-3.451907532137118295e+01,6.582729580187315577e+00,1.500000000000000000e+00,1.500000000000000000e+00
-3.468392019572124241e+01,6.896166129245946408e+00,1.500000000000000000e+00,1.500000000000000000e+00
-3.482226914546337326e+01,7.221976885937460899e+00,1.500000000000000000e+00,1.500000000000000000e+00
-3.493297434596359352e+01,7.557600357013406267e+00,1.500000000000000000e+00,1.500000000000000000e+00
-3.501488761954145446e+01,7.900474696178870992e+00,1.500000000000000000e+00,1.500000000000000000e+00
-3.506686107095370630e+01,8.248038268966823239e+00,1.500000000000000000e+00,1.500000000000000000e+00
-3.508774673434776048e+01,8.597729440910230281e+00,1.500000000000000000e+00,1.500000000000000000e+00
-3.507639664387107814e+01,8.946986365714186817e+00,1.500000000000000000e+00,1.500000000000000000e+00
-3.503195127262470265e+01,9.293300789535619444e+00,1.500000000000000000e+00,1.500000000000000000e+00
-3.495514552210901371e+01,9.634458616837651590e+00,1.500000000000000000e+00,1.500000000000000000e+00
-3.484726201009448232e+01,9.968347147025212962e+00,1.500000000000000000e+00,1.500000000000000000e+00
-3.470958370739796806e+01,1.029285360889396550e+01,1.500000000000000000e+00,1.500000000000000000e+00
-3.454339372605494418e+01,1.060586523123954805e+01,1.500000000000000000e+00,1.500000000000000000e+00
-3.434997503688232712e+01,1.090526938407620072e+01,1.500000000000000000e+00,1.500000000000000000e+00
-3.413071504183832872e+01,1.118867537803030210e+01,1.500000000000000000e+00,1.500000000000000000e+00
-3.388756891218987732e+01,1.145218134368298735e+01,1.500000000000000000e+00,1.500000000000000000e+00
-3.362268387647529977e+01,1.169137384730226081e+01,1.500000000000000000e+00,1.500000000000000000e+00
-3.333820737506081855e+01,1.190183896089112991e+01,1.500000000000000000e+00,1.500000000000000000e+00
-3.303628677770335287e+01,1.207916289767116780e+01,1.500000000000000000e+00,1.500000000000000000e+00
-3.271907227853146338e+01,1.221897663715443905e+01,1.500000000000000000e+00,1.500000000000000000e+00
-3.238891905044541630e+01,1.232027223171236052e+01,1.500000000000000000e+00,1.500000000000000000e+00
-3.204852662785747697e+01,1.238767917950726094e+01,1.500000000000000000e+00,1.500000000000000000e+00
-3.170062709606309781e+01,1.242636558637299338e+01,1.500000000000000000e+00,1.500000000000000000e+00
-3.134795282279486628e+01,1.244149962875265203e+01,1.500000000000000000e+00,1.500000000000000000e+00
-3.099323596395751323e+01,1.243824934187080800e+01,1.500000000000000000e+00,1.500000000000000000e+00
-3.063903370563272688e+01,1.242160355457150978e+01,1.500000000000000000e+00,1.500000000000000000e+00
-3.028613044643388363e+01,1.239473474229797034e+01,1.500000000000000000e+00,1.500000000000000000e+00
-2.993428046602841164e+01,1.235975991281198816e+01,1.500000000000000000e+00,1.500000000000000000e+00
-2.958322533441137381e+01,1.231878322298442896e+01,1.500000000000000000e+00,1.500000000000000000e+00
-2.923270676279639702e+01,1.227390868846753769e+01,1.500000000000000000e+00,1.500000000000000000e+00
-2.888246625056925865e+01,1.222724004247644558e+01,1.500000000000000000e+00,1.500000000000000000e+00
-2.853230284368785874e+01,1.218040793597675808e+01,1.500000000000000000e+00,1.500000000000000000e+00
-2.818218286152040264e+01,1.213366190220276764e+01,1.500000000000000000e+00,1.500000000000000000e+00
-2.783210305603950374e+01,1.208700052896864463e+01,1.500000000000000000e+00,1.500000000000000000e+00
-2.748206017921778255e+01,1.204042240408856657e+01,1.500000000000000000e+00,1.500000000000000000e+00
-2.713205098302785601e+01,1.199392618598602134e+01,1.500000000000000000e+00,1.500000000000000000e+00
-2.678207221944233041e+01,1.194751046247517401e+01,1.500000000000000000e+00,1.500000000000000000e+00
-2.643212056982454428e+01,1.190117382137020741e+01,1.500000000000000000e+00,1.500000000000000000e+00
-2.608219285675638943e+01,1.185491492109460410e+01,1.500000000000000000e+00,1.500000000000000000e+00
-2.573228583221049348e+01,1.180873242007182355e+01,1.500000000000000000e+00,1.500000000000000000e+00
-2.538239617755017719e+01,1.176262490611606104e+01,1.500000000000000000e+00,1.500000000000000000e+00
-2.503252064474805394e+01,1.171659096704147807e+01,1.500000000000000000e+00,1.500000000000000000e+00
-2.468265605638602622e+01,1.167062919066226989e+01,1.500000000000000000e+00,1.500000000000000000e+00
-2.433279909382742900e+01,1.162473830601118330e+01,1.500000000000000000e+00,1.500000000000000000e+00
-2.398294650904486502e+01,1.157891683029312979e+01,1.500000000000000000e+00,1.500000000000000000e+00
-2.363309512462024742e+01,1.153316342193156174e+01,1.500000000000000000e+00,1.500000000000000000e+00
-2.328324155130761497e+01,1.148747673934995817e+01,1.500000000000000000e+00,1.500000000000000000e+00
-2.293338268229815569e+01,1.144185529975321991e+01,1.500000000000000000e+00,1.500000000000000000e+00
-2.258351512834591190e+01,1.139629776156479224e+01,1.500000000000000000e+00,1.500000000000000000e+00
-2.223363578264207518e+01,1.135080278320817193e+01,1.500000000000000000e+00,1.500000000000000000e+00
-2.188374125594067721e+01,1.130536895249753826e+01,1.500000000000000000e+00,1.500000000000000000e+00
-2.153382837082362755e+01,1.125999485724704918e+01,1.500000000000000000e+00,1.500000000000000000e+00
-2.118389387926354672e+01,1.121467915588019970e+01,1.500000000000000000e+00,1.500000000000000000e+00
-2.083393446262375193e+01,1.116942043621115843e+01,1.500000000000000000e+00,1.500000000000000000e+00
-2.048394694348614919e+01,1.112421735666339373e+01,1.500000000000000000e+00,1.500000000000000000e+00
-2.013392800321406639e+01,1.107906850505110441e+01,1.500000000000000000e+00,1.500000000000000000e+00
-1.978387439378012402e+01,1.103397253979774284e+01,1.500000000000000000e+00,1.500000000000000000e+00
-1.943378293776621391e+01,1.098892804871750073e+01,1.500000000000000000e+00,1.500000000000000000e+00
-1.908365038714496720e+01,1.094393354901525939e+01,1.500000000000000000e+00,1.500000000000000000e+00
-1.873347335267040492e+01,1.089898784033308665e+01,1.500000000000000000e+00,1.500000000000000000e+00
-1.838324872753373285e+01,1.085408943987584784e+01,1.500000000000000000e+00,1.500000000000000000e+00
-1.803297312248897910e+01,1.080923693545775066e+01,1.500000000000000000e+00,1.500000000000000000e+00
-1.768264343072734590e+01,1.076442905611154544e+01,1.500000000000000000e+00,1.500000000000000000e+00
-1.733225626300286493e+01,1.071966424843281906e+01,1.500000000000000000e+00,1.500000000000000000e+00
-1.698180844189744576e+01,1.067494131206365182e+01,1.500000000000000000e+00,1.500000000000000000e+00
-1.663129671938369825e+01,1.063025876420890548e+01,1.500000000000000000e+00,1.500000000000000000e+00
-1.628071784743423578e+01,1.058561526329206437e+01,1.500000000000000000e+00,1.500000000000000000e+00
-1.593006857802167708e+01,1.054100939712732021e+01,1.500000000000000000e+00,1.500000000000000000e+00
-1.557934559250935358e+01,1.049643975352883807e+01,1.500000000000000000e+00,1.500000000000000000e+00
-1.522854564286987511e+01,1.045190499092009517e+01,1.500000000000000000e+00,1.500000000000000000e+00
-1.487766555168514415e+01,1.040740376772455811e+01,1.500000000000000000e+00,1.500000000000000000e+00
-1.452670200031849035e+01,1.036293460114712417e+01,1.500000000000000000e+00,1.500000000000000000e+00
-1.417565181135181618e+01,1.031849614961125816e+01,1.500000000000000000e+00,1.500000000000000000e+00
-1.382451166614844951e+01,1.027408714214972818e+01,1.500000000000000000e+00,1.500000000000000000e+00
-1.347327831668100906e+01,1.022970602535813356e+01,1.500000000000000000e+00,1.500000000000000000e+00
-1.312194851492209757e+01,1.018535145765993910e+01,1.500000000000000000e+00,1.500000000000000000e+00
-1.277051901284434798e+01,1.014102216808791290e+01,1.500000000000000000e+00,1.500000000000000000e+00
-1.241905441794898479e+01,1.009725478725340864e+01,1.500000000000000000e+00,1.500000000000000000e+00
-1.206830135287870753e+01,1.005999722999971802e+01,1.500000000000000000e+00,1.500000000000000000e+00
-1.171940072255697451e+01,1.003832462605781473e+01,1.500000000000000000e+00,1.500000000000000000e+00
-1.137349816272976000e+01,1.004135023417580541e+01,1.500000000000000000e+00,1.500000000000000000e+00
-1.103173945036159154e+01,1.007818724249249165e+01,1.500000000000000000e+00,1.500000000000000000e+00
-1.069527015058913655e+01,1.015794890975596587e+01,1.500000000000000000e+00,1.500000000000000000e+00
-1.036566287354085070e+01,1.028849609772044182e+01,1.500000000000000000e+00,1.500000000000000000e+00
-1.004871393591229456e+01,1.046529907915171798e+01,1.500000000000000000e+00,1.500000000000000000e+00
-9.752629973155560350e+00,1.067675667693444375e+01,1.500000000000000000e+00,1.500000000000000000e+00
-9.484543794625645674e+00,1.091262891986452033e+01,1.500000000000000000e+00,1.500000000000000000e+00
-9.245942855646095637e+00,1.117007152448317342e+01,1.500000000000000000e+00,1.500000000000000000e+00
-9.036511744514166722e+00,1.144860117019373646e+01,1.500000000000000000e+00,1.500000000000000000e+00
-8.856314503856761888e+00,1.174712468395343379e+01,1.500000000000000000e+00,1.500000000000000000e+00
-8.706486107416896658e+00,1.206282560236411427e+01,1.500000000000000000e+00,1.500000000000000000e+00
-8.588349067214402055e+00,1.239258610157380858e+01,1.500000000000000000e+00,1.500000000000000000e+00
-8.503225824659839560e+00,1.273328821651192655e+01,1.500000000000000000e+00,1.500000000000000000e+00
-8.452438750554437163e+00,1.308181412332648819e+01,1.500000000000000000e+00,1.500000000000000000e+00
-8.437309933262309158e+00,1.343504522146329805e+01,1.500000000000000000e+00,1.500000000000000000e+00
-8.458864972734742693e+00,1.378935953673284409e+01,1.500000000000000000e+00,1.500000000000000000e+00
-8.517304469967395875e+00,1.413973463026857225e+01,1.500000000000000000e+00,1.500000000000000000e+00
-8.612686536406737758e+00,1.448090636760091954e+01,1.500000000000000000e+00,1.500000000000000000e+00
-8.745069565936381295e+00,1.480761054365105522e+01,1.500000000000000000e+00,1.500000000000000000e+00
-8.914511599393525998e+00,1.511458302394942343e+01,1.500000000000000000e+00,1.500000000000000000e+00
-9.120948029276906510e+00,1.539665824459665799e+01,1.500000000000000000e+00,1.500000000000000000e+00
-9.361820257319028116e+00,1.565066782548844593e+01,1.500000000000000000e+00,1.500000000000000000e+00
-9.632248969686092011e+00,1.587530231732376862e+01,1.500000000000000000e+00,1.500000000000000000e+00
-9.927266590930642565e+00,1.606932302131118817e+01,1.500000000000000000e+00,1.500000000000000000e+00
-1.024190540438658203e+01,1.623149116804993852e+01,1.500000000000000000e+00,1.500000000000000000e+00
-1.057119783460644236e+01,1.636056812935787619e+01,1.500000000000000000e+00,1.500000000000000000e+00
-1.091022968676671567e+01,1.645571083030082704e+01,1.500000000000000000e+00,1.500000000000000000e+00
-1.125514710576634592e+01,1.652392950250470349e+01,1.500000000000000000e+00,1.500000000000000000e+00
-1.160307078593823604e+01,1.657945107078809599e+01,1.500000000000000000e+00,1.500000000000000000e+00
-1.195135386740115280e+01,1.663570478680954423e+01,1.500000000000000000e+00,1.500000000000000000e+00
-1.229916351356813209e+01,1.669628155667051317e+01,1.500000000000000000e+00,1.500000000000000000e+00
-1.264664666237367641e+01,1.675945816062493421e+01,1.500000000000000000e+00,1.500000000000000000e+00
-1.299394107254446062e+01,1.682368705484264737e+01,1.500000000000000000e+00,1.500000000000000000e+00
-1.334109398169614380e+01,1.688853688716514156e+01,1.500000000000000000e+00,1.500000000000000000e+00
-1.368812459555587147e+01,1.695391756013713191e+01,1.500000000000000000e+00,1.500000000000000000e+00
-1.403505240228794548e+01,1.701973890569405512e+01,1.500000000000000000e+00,1.500000000000000000e+00
-1.438189674883810198e+01,1.708591103820850776e+01,1.500000000000000000e+00,1.500000000000000000e+00
-1.472867691154276137e+01,1.715234371900663390e+01,1.500000000000000000e+00,1.500000000000000000e+00
-1.507541230795695242e+01,1.721894699185174105e+01,1.500000000000000000e+00,1.500000000000000000e+00
-1.542212228502639171e+01,1.728563075928854786e+01,1.500000000000000000e+00,1.500000000000000000e+00
-1.576882618969681182e+01,1.735230492386178724e+01,1.500000000000000000e+00,1.500000000000000000e+00
-1.611554336891392225e+01,1.741887952933475958e+01,1.500000000000000000e+00,1.500000000000000000e+00
-1.646229316962347511e+01,1.748526440764289092e+01,1.500000000000000000e+00,1.500000000000000000e+00
-1.680909345597605764e+01,1.755137673408790278e+01,1.500000000000000000e+00,1.500000000000000000e+00
-1.715594818209198635e+01,1.761720019792355529e+01,1.500000000000000000e+00,1.500000000000000000e+00
-1.750285374689740436e+01,1.768275435792345363e+01,1.500000000000000000e+00,1.500000000000000000e+00
-1.784980654931849031e+01,1.774805912590765189e+01,1.500000000000000000e+00,1.500000000000000000e+00
-1.819680284706280204e+01,1.781313448430549684e+01,1.500000000000000000e+00,1.500000000000000000e+00
-1.854383910966581084e+01,1.787800027432775352e+01,1.500000000000000000e+00,1.500000000000000000e+00
-1.889091166544436362e+01,1.794267640779446538e+01,1.500000000000000000e+00,1.500000000000000000e+00
-1.923801677210606442e+01,1.800718279652568654e+01,1.500000000000000000e+00,1.500000000000000000e+00
-1.958515089918634899e+01,1.807153935234147824e+01,1.500000000000000000e+00,1.500000000000000000e+00
-1.993231037500209268e+01,1.813576598706187681e+01,1.500000000000000000e+00,1.500000000000000000e+00
-2.027949152787017084e+01,1.819988268311625035e+01,1.500000000000000000e+00,1.500000000000000000e+00
-2.062669075671672303e+01,1.826390928171534611e+01,1.500000000000000000e+00,1.500000000000000000e+00
-2.097390438985863881e+01,1.832786569467921467e+01,1.500000000000000000e+00,1.500000000000000000e+00
-2.132112875561278287e+01,1.839177183382791370e+01,1.500000000000000000e+00,1.500000000000000000e+00
-2.166836025290531609e+01,1.845564761098149731e+01,1.500000000000000000e+00,1.500000000000000000e+00
-2.201559528066239935e+01,1.851951300856930516e+01,1.500000000000000000e+00,1.500000000000000000e+00
-2.236283009659159760e+01,1.858338779719282385e+01,1.500000000000000000e+00,1.500000000000000000e+00
-2.271006102900980750e+01,1.864729202989067858e+01,1.500000000000000000e+00,1.500000000000000000e+00
-2.305728461806174323e+01,1.871124561848290568e+01,1.500000000000000000e+00,1.500000000000000000e+00
-2.340449705084571264e+01,1.877526833357100244e+01,1.500000000000000000e+00,1.500000000000000000e+00
-2.375169472628786949e+01,1.883938022819357982e+01,1.500000000000000000e+00,1.500000000000000000e+00
-2.409887404331437466e+01,1.890360114356141708e+01,1.500000000000000000e+00,1.500000000000000000e+00
-2.444603133024210351e+01,1.896795099149456831e+01,1.500000000000000000e+00,1.500000000000000000e+00
-2.479316305660649533e+01,1.903244883650158314e+01,1.500000000000000000e+00,1.500000000000000000e+00
-2.514026844570535246e+01,1.909709729112623933e+01,1.500000000000000000e+00,1.500000000000000000e+00
-2.548734919216166972e+01,1.916188378691472494e+01,1.500000000000000000e+00,1.500000000000000000e+00
-2.583440713181699522e+01,1.922679519053894026e+01,1.500000000000000000e+00,1.500000000000000000e+00
-2.618144395929433088e+01,1.929181843928004625e+01,1.500000000000000000e+00,1.500000000000000000e+00
-2.652846151043522482e+01,1.935694039980993963e+01,1.500000000000000000e+00,1.500000000000000000e+00
-2.687546162108125358e+01,1.942214793880047452e+01,1.500000000000000000e+00,1.500000000000000000e+00
-2.722244598585540132e+01,1.948742792292353698e+01,1.500000000000000000e+00,1.500000000000000000e+00
-2.756941636998992351e+01,1.955276736006960547e+01,1.500000000000000000e+00,1.500000000000000000e+00
-2.791637467993571065e+01,1.961815304630124857e+01,1.500000000000000000e+00,1.500000000000000000e+00
-2.826332261031571136e+01,1.968357184829036655e+01,1.500000000000000000e+00,1.500000000000000000e+00
-2.861026192636221310e+01,1.974901070331812036e+01,1.500000000000000000e+00,1.500000000000000000e+00
-2.895719446391678176e+01,1.981445647805638188e+01,1.500000000000000000e+00,1.500000000000000000e+00
-2.930412205882099386e+01,1.987989610978632982e+01,1.500000000000000000e+00,1.500000000000000000e+00
-2.965104640569781225e+01,1.994531646517984314e+01,1.500000000000000000e+00,1.500000000000000000e+00
-2.999796926977952083e+01,2.001070441090881147e+01,1.500000000000000000e+00,1.500000000000000000e+00
-3.034489255751696746e+01,2.007604688425438155e+01,1.500000000000000000e+00,1.500000000000000000e+00
-3.069181796353315406e+01,2.014133068127916459e+01,1.500000000000000000e+00,1.500000000000000000e+00
-3.103874725306033611e+01,2.020654280987361417e+01,1.500000000000000000e+00,1.500000000000000000e+00
-3.138568226194009725e+01,2.027167006610032018e+01,1.500000000000000000e+00,1.500000000000000000e+00
-3.173262482601398560e+01,2.033669938724045068e+01,1.500000000000000000e+00,1.500000000000000000e+00
-3.207957656929570334e+01,2.040161771057518791e+01,1.500000000000000000e+00,1.500000000000000000e+00
-3.242653946884538385e+01,2.046641183216711113e+01,1.500000000000000000e+00,1.500000000000000000e+00
-3.277352220960584361e+01,2.053099892731790632e+01,1.500000000000000000e+00,1.500000000000000000e+00
-3.312095466094046259e+01,2.059115500702327850e+01,1.500000000000000000e+00,1.500000000000000000e+00
-3.346991629768959342e+01,2.063626114001455036e+01,1.500000000000000000e+00,1.500000000000000000e+00
-3.382153983409892817e+01,2.065515682176125623e+01,1.500000000000000000e+00,1.500000000000000000e+00
-3.417554749321779894e+01,2.064013377718698905e+01,1.500000000000000000e+00,1.500000000000000000e+00
-3.452788601930748058e+01,2.059272260389206721e+01,1.500000000000000000e+00,1.500000000000000000e+00
-3.487391115686381937e+01,2.051598414403068205e+01,1.500000000000000000e+00,1.500000000000000000e+00
-3.521095133275375133e+01,2.041304624797413680e+01,1.500000000000000000e+00,1.500000000000000000e+00
-3.553936022891572577e+01,2.028713929078421430e+01,1.500000000000000000e+00,1.500000000000000000e+00
-3.585974812145158808e+01,2.014150226185622117e+01,1.500000000000000000e+00,1.500000000000000000e+00
